Number of CPUs, Elapsed Time (seconds)
1, 316.435089111
2, 158.321670532
3, 105.550193787
4, 78.953933716
5, 63.327091217
6, 52.853137970
7, 45.215831757
8, 39.498550415
9, 35.138866425
10, 31.669052124
11, 28.758033752
12, 26.395837784
13, 24.328985214
14, 22.588460922
15, 21.091825485
16, 19.796840668
17, 18.631553650
18, 17.586128235
19, 16.639530182
20, 15.814283371
21, 15.072095871
22, 14.373703003
23, 13.748414040
24, 13.207806587
25, 12.671581268
26, 12.160136223
27, 11.708315849
28, 11.290706635
29, 10.905009270
30, 10.541711807
31, 10.226027489
32, 9.887825012
