Number of Processes, Elapsed Time (seconds)
1, 317.874633789
2, 158.612792969
3, 105.852851868
4, 78.952812195
5, Error in output
6, 52.923217773
7, Error in output
8, 39.644088745
9, Error in output
10, Error in output
11, Error in output
12, 26.587020874
13, Error in output
14, Error in output
15, Error in output
16, 19.978408813
17, Error in output
18, Error in output
19, Error in output
20, Error in output
21, Error in output
22, Error in output
23, Error in output
24, 13.319849014
25, Error in output
26, Error in output
27, Error in output
28, Error in output
29, Error in output
30, Error in output
31, Error in output
32, 10.139096260
